lambda,K,N,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,10,G3,run213_u0065053.log,54.74389244,38.0,35752.776826,4.329049,99.98789171252048,15.53615,5.201813e-06,99.99996651800478,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.84969534,6.22897016,8.54505867,0.0,0.0,0.0,-0.19337256,-4.25582146,2.27036455,0.0,0.0,0.15030466,0.22897016,33.54505867,0.0,0.0,0.0,-14.29337294,-4.25582146,2.27036455
LM_normal,1,10,G4,run214_u0065076.log,35.38661529,35.0,66492.805166,0.782179,99.99882366370609,19.04734,1.787136e-06,99.99999061739855,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.99102439,3.04642233,14.22516737,0.0,0.0,0.0,-2.05462023,-1.30320485,1.44822495,0.0,0.0,0.00897561,0.04642233,27.22516737,0.0,0.0,0.0,-5.35462018,-1.30320485,1.44822495
LM_normal,1,12,G0,run245_u0065085.log,47.98175668,28.0,46505.903783,2.41246,99.99481257259025,17.25948,7.156282e-06,99.99995853709383,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.89664648,5.11946855,12.84745117,0.0,0.0,0.0,-0.7638328,-3.08698991,2.06066073,0.0,0.0,0.10335352,0.11946855,31.84745117,0.0,0.0,0.0,-10.7638328,-3.08698991,2.06066073
LM_normal,1,12,G1,run246_u0065087.log,27.101103,31.0,17439.706522,2.197502,99.98739943245475,7.848901,6.938599e-06,99.99991159782752,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.94816222,2.04529388,-1.70021803,0.0,0.0,0.0,-1.52057127,-2.77475528,1.40886282,0.0,0.0,0.05183778,0.04529388,13.29978197,0.0,0.0,0.0,-9.52057127,-2.77475528,1.40886282
LM_normal,1,12,G2,run247_u0065091.log,38.481358209999996,25.0,104249.584198,12.684012,99.98783303348634,17.57603,2.37249e-05,99.99986501559225,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.83049191,8.78905359,0.98637711,0.0,0.0,0.0,2.26655058,-2.94726846,1.55570135,0.0,0.0,0.16950809,0.78905359,22.98637711,0.0,0.0,0.0,-10.03344961,-2.94726846,1.55570135
LM_normal,1,12,G3,run248_u0065092.log,28.32918507,31.0,42921.55265,7.125065,99.98339979669863,42.76806,7.221261e-06,99.99998311529446,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.82720707,5.96143245,-30.2265476,0.0,0.0,0.0,-2.38190122,-5.10406966,1.30530573,0.0,0.0,0.17279293,-0.03856755,-5.2265476,0.0,0.0,0.0,-16.4819016,-5.10406966,1.30530573
LM_normal,1,12,G4,run008_u0065046.log,33.42509243,28.0,79828.996866,0.770893,99.99903431957026,18.49215,1.191776e-06,99.99999355523289,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-12.0000876,3.04445368,13.37606035,0.0,0.0,0.0,-1.27506093,-1.09410883,1.33532108,0.0,0.0,-8.76e-05,0.04445368,26.37606035,0.0,0.0,0.0,-4.57506089,-1.09410883,1.33532108
LM_normal,1,15,G0,run280_u0065014.log,17.37657003,28.0,58169.093527,1.999097,99.99656330040786,19.83396,4.452859e-06,99.99997754931945,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.91337283,5.01684549,-14.2404757,0.0,0.0,0.0,1.13882347,-2.68103912,0.97135742,0.0,0.0,0.08662717,0.01684549,4.7595243,0.0,0.0,0.0,-8.86117653,-2.68103912,0.97135742
LM_normal,1,15,G1,run281_u0065017.log,25.4077637,26.0,21793.423105,2.276189,99.98955561506315,7.069772,4.130737e-06,99.99994157184985,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.95875044,2.04502496,-2.01636602,0.0,0.0,0.0,-0.56137504,-2.5036753,1.27280486,0.0,0.0,0.04124956,0.04502496,12.98363398,0.0,0.0,0.0,-8.56137504,-2.5036753,1.27280486
LM_normal,1,15,G2,run282_u0065020.log,23.62462498,42.0,130261.119572,16.825102,99.98708355796781,22.38453,7.749072e-06,99.99996538202053,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.86567503,8.30051576,-13.50724604,0.0,0.0,0.0,1.90273766,-3.13397095,1.16579681,0.0,0.0,0.13432497,0.30051576,8.49275396,0.0,0.0,0.0,-10.39726253,-3.13397095,1.16579681
LM_normal,1,15,G3,run283_u0065028.log,42.56349563,31.0,53684.202987,8.477291,99.98420896552743,11.30893,6.387857e-06,99.99994351493022,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.83353095,6.13067322,-6.01444684,0.0,0.0,0.0,-2.20278949,-4.91552584,2.06248448,0.0,0.0,0.16646905,0.13067322,18.98555316,0.0,0.0,0.0,-16.30278988,-4.91552584,2.06248448
LM_normal,1,15,G4,run284_u0065031.log,21.64168208,31.0,99737.715144,0.614894,99.99938348898498,12.98695,3.287082e-06,99.99997468934583,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.98414261,3.0301476,2.97330659,0.0,0.0,0.0,-0.44769035,-0.95726227,0.91741793,0.0,0.0,0.01585739,0.0301476,15.97330659,0.0,0.0,0.0,-3.7476903,-0.95726227,0.91741793
LM_normal,1,18,G0,run315_u0065087.log,29.07290356,31.0,69708.826168,2.963564,99.99574865312914,11.63759,7.149194e-06,99.99993856808841,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.89739478,5.05075259,-4.50301611,0.0,0.0,0.0,-0.03276472,-2.98002879,1.40976835,0.0,0.0,0.10260522,0.05075259,14.49698389,0.0,0.0,0.0,-10.03276472,-2.98002879,1.40976835
LM_normal,1,18,G1,run316_u0065091.log,26.714064649999997,28.0,26161.761948,1.684636,99.99356069364384,7.030212,1.510789e-06,99.99997851005062,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.98424515,2.05685899,1.70144314,0.0,0.0,0.0,1.19499873,-1.95695179,1.17805461,0.0,0.0,0.01575485,0.05685899,16.70144314,0.0,0.0,0.0,-6.80500127,-1.95695179,1.17805461
LM_normal,1,18,G2,run317_u0065092.log,16.34770245,31.0,156287.798385,18.410905,99.98821987052716,21.58241,2.432364e-05,99.99988729877711,1000000.0,0.0,0.0,-14.0,8.0,-22.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,-13.90052813,8.06775632,-19.84632237,0.0,0.0,0.0,2.28759258,-3.08774721,0.92664181,0.0,0.0,0.09947187,0.06775632,2.15367763,0.0,0.0,0.0,-10.01240761,-3.08774721,0.92664181
LM_normal,1,18,G3,run011_u0065077.log,44.43391048,28.0,64379.337277,7.545168,99.98828014030724,11.1788,7.696878e-06,99.99993114754713,1000000.0,0.0,0.0,-8.0,6.0,-25.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,-7.85370766,6.16425095,-1.31862094,0.0,0.0,0.0,-0.11364124,-4.27460682,1.95373968,0.0,0.0,0.14629234,0.16425095,23.68137906,0.0,0.0,0.0,-14.21364163,-4.27460682,1.95373968
LM_normal,1,18,G4,run319_u0065096.log,19.99733578,26.0,119796.320498,0.678046,99.99943400098002,12.50139,1.340729e-06,99.99998927536059,1000000.0,0.0,0.0,-12.0,3.0,-13.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,-11.98721025,3.02720831,1.33058246,0.0,0.0,0.0,-0.47621832,-0.98297581,0.86756118,0.0,0.0,0.01278975,0.02720831,14.33058246,0.0,0.0,0.0,-3.77621827,-0.98297581,0.86756118
LM_normal,1,20,G0,run350_u0065082.log,49.49904091,30.0,77533.469579,3.159612,99.99592484121095,15.90522,7.131534e-06,99.99995516230521,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.90551234,5.12456375,16.16809997,0.0,0.0,0.0,0.54356213,-2.65035483,2.00509683,0.0,0.0,0.09448766,0.12456375,35.16809997,0.0,0.0,0.0,-9.45643787,-2.65035483,2.00509683
LM_normal,1,20,G1,run351_u0065083.log,22.21588741,30.0,29069.073917,2.638591,99.99092303040841,8.155347,7.608288e-06,99.99990670797945,1000000.0,0.0,0.0,-6.0,2.0,-15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-5.9483238,2.0382739,-4.86230174,0.0,0.0,0.0,-0.36496079,-2.47384243,1.14943583,0.0,0.0,0.0516762,0.0382739,10.13769826,0.0,0.0,0.0,-8.36496079,-2.47384243,1.14943583
