lambda,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
LM_normal,1,18,36,G4,run39_u0065007.log,16.455319839999998,30,30274.056995,1.343817,99.99556115983985,6.569419,8.891899e-06,99.99986464710197,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.87123935,-1.90134503,0.36333552,0.0,0.0,0.0,-2.42224349,-1.51174215,0.93058306,0.0,0.0,0.12876065,0.09865497,8.36333552,0.0,0.0,0.0,-5.42224349,-1.51174215,0.93058306
LM_normal,1,24,48,G0,run40_u0065022.log,29.61287277,30,92987.042638,0.363915,99.99960863902145,14.78645,1.069005e-06,99.99999277037422,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.98375491,5.10072161,7.73843368,0.0,0.0,0.0,8.48278582,-0.2889806,0.95127761,0.0,0.0,0.01624509,0.10072161,26.73843368,0.0,0.0,0.0,-1.51721418,-0.2889806,0.95127761
LM_normal,1,24,48,G1,run41_u0065065.log,17.19178987,26,63545.235273,0.724364,99.9988600813312,7.871596,6.36791e-06,99.99991910268261,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.12543699,-6.01871831,-0.4080358,0.0,0.0,0.0,1.29989975,-1.03675466,0.71881546,0.0,0.0,-0.12543699,-0.01871831,11.5919642,0.0,0.0,0.0,-3.70010025,-1.03675466,0.71881546
LM_normal,1,24,48,G2,run42_u0065085.log,37.02722319,28,338867.387978,12.005037,99.99645730529822,19.98964,2.007877e-05,99.99989955411903,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.57982494,-11.95252349,-6.67935476,0.0,0.0,0.0,0.11715106,-4.47554013,1.88053731,0.0,0.0,0.42017506,0.04747651,15.32064524,0.0,0.0,0.0,-14.88284894,-4.47554013,1.88053731
LM_normal,1,24,48,G3,run43_u0065009.log,37.86092927,82,457673.390419,64.856794,99.98582902232077,18.59796,4.14207e-05,99.99977728363756,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.98500292,-8.54390007,-8.17096907,0.0,0.0,0.0,10.15082523,-4.77272093,0.85110549,0.0,0.0,0.01499708,-0.54390007,16.82903093,0.0,0.0,0.0,-14.84917477,-4.77272093,0.85110549
LM_normal,1,24,48,G4,run44_u0065014.log,14.41143583,41,40360.743256,1.1142,99.99723939672533,6.818848,3.472729e-06,99.99994907161738,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.89081735,-1.90616002,-0.21585705,0.0,0.0,0.0,-1.42183746,-1.22490152,0.77753127,0.0,0.0,0.10918265,0.09383998,7.78414295,0.0,0.0,0.0,-4.42183746,-1.22490152,0.77753127
LM_normal,1,36,72,G0,run45_u0065031.log,24.86588186,28,139452.783307,4.35516,99.99687696444866,13.09476,1.498018e-05,99.99988560172162,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.91237451,5.04290469,-6.27204727,0.0,0.0,0.0,1.64633302,-2.48824948,1.16548249,0.0,0.0,0.08762549,0.04290469,12.72795273,0.0,0.0,0.0,-8.35366698,-2.48824948,1.16548249
LM_normal,1,36,72,G1,run46_u0065034.log,8.45104193,28,95332.290184,0.841273,99.99911753614818,11.49954,3.603535e-06,99.9999686636596,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.02514706,-6.00574717,-7.86876108,0.0,0.0,0.0,2.00502594,-0.87955117,0.41438355,0.0,0.0,-0.02514706,-0.00574717,4.13123892,0.0,0.0,0.0,-2.99497406,-0.87955117,0.41438355
LM_normal,1,36,72,G2,run47_u0065046.log,24.10492353,35,508327.247699,2.816187,99.99944598936752,20.17089,4.206342e-06,99.99997914647297,1000000.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.65612579,-11.94158392,-6.14729968,0.0,0.0,0.0,9.63299623,-1.61001199,0.87291716,0.0,0.0,0.34387421,0.05841608,15.85270032,0.0,0.0,0.0,-5.36700377,-1.61001199,0.87291716
LM_normal,1,36,72,G3,run48_u0065083.log,63.8861988,31,686469.73032,223.929042,99.96737961892427,20.62608,4.388211e-05,99.99978724939494,1000000.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.04917645,-8.960339,5.96975501,0.0,0.0,0.0,2.32072513,-7.23478367,1.9928698,0.0,0.0,-0.04917645,-0.960339,30.96975501,0.0,0.0,0.0,-22.67927487,-7.23478367,1.9928698
LM_normal,1,36,72,G4,run49_u0065007.log,12.79966007,31,60516.499449,0.849191,99.9985967612011,6.076314,3.119967e-06,99.99994865362454,1000000.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.89692031,-1.8920105,0.48867941,0.0,0.0,0.0,0.22249689,-0.7323015,0.59010686,0.0,0.0,0.10307969,0.1079895,8.48867941,0.0,0.0,0.0,-2.77750311,-0.7323015,0.59010686
LM_normal,1,60,120,G0,run50_u0065064.log,28.15131515,36,232536.006833,4.120163,99.99822816128301,10.471,3.248092e-06,99.99996898011652,1000000.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.93642752,5.06706356,-0.21692532,0.0,0.0,0.0,3.71218645,-1.81683172,1.13295916,0.0,0.0,0.06357248,0.06706356,18.78307468,0.0,0.0,0.0,-6.28781355,-1.81683172,1.13295916
LM_normal,1,60,120,G1,run51_u0065078.log,15.693242,40,158915.753912,1.37851,99.99913255296214,8.045963,4.690484e-06,99.99994170388305,1000000.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.12349371,-6.01899147,-1.11479947,0.0,0.0,0.0,1.84683352,-0.87157545,0.64081436,0.0,0.0,-0.12349371,-0.01899147,10.88520053,0.0,0.0,0.0,-3.15316648,-0.87157545,0.64081436
