Phantom already exists, skipping: cuboid_phantom_5_normal.npy

################################################################################
Running cuboid=normal scenario=G0 N_ANGLES=180, K=5
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4          x5          y5  area5
33   proj_033.png  358.304714  62.587542    594  411.035524  168.756661    563  592.336976  272.590164    549  545.125862  385.796552    580  358.276094  497.776094    594
34   proj_034.png  355.380872  62.619128    596  412.478571  168.769643    560  595.255396  272.726619    556  543.753425  385.857877    584  355.380634  497.363940    599
35   proj_035.png  352.628763  62.605351    598  414.000000  168.682540    567  598.082585  272.929982    557  542.297800  386.074450    591  352.653846  496.908027    598
36   proj_036.png  350.061121  62.611205    589  415.676786  168.666071    560  600.845601  273.102334    557  540.659247  386.212329    584  350.076014  496.501689    592
37   proj_037.png  347.659396  62.687919    596  417.317291  168.639929    561  603.444444  273.267025    558  538.976190  386.362245    588  347.641414  496.129630    594
38   proj_038.png  345.416807  62.700840    595  419.111504  168.610619    565  605.833929  273.469643    560  537.235294  386.515966    595  345.437604  495.695507    601
39   proj_039.png  343.356902  62.705387    594  420.968142  168.605310    565  608.077601  273.703704    567  535.389916  386.648739    595  343.353434  495.251256    597
40   proj_040.png  341.433390  62.741990    593  422.888693  168.452297    566  610.241135  273.962766    564  533.500840  386.791597    595  341.483165  494.838384    594
41   proj_041.png  339.750424  62.728353    589  424.782765  168.479354    557  612.218472  274.044405    563  531.522843  386.918782    591  339.763514  494.324324    592
42   proj_042.png  338.156197  62.757216    589  426.789286  168.414286    560  614.037037  274.292769    567  529.515966  387.060504    595  338.154762  493.916667    588
43   proj_043.png  336.875427  62.798635    586  428.924028  168.376325    566  615.685413  274.527241    569  527.467227  387.156303    595  336.923469  493.503401    588
44   proj_044.png  335.694017  62.830769    585  431.030035  168.356890    566  617.096154  274.750000    572  525.236181  387.314908    597  335.635739  493.036082    582
45   proj_045.png  334.705281  62.821124    587  433.246914  168.255732    567  618.378947  274.977193    570  523.048253  387.417637    601  334.736486  492.594595    592
46   proj_046.png  333.872633  62.812392    581  435.481416  168.233628    565  619.465849  275.077058    571  520.676033  387.520661    605  333.872014  492.148464    586
47   proj_047.png  333.128028  62.794118    578  437.827160  168.250441    567  620.521968  275.316344    569  518.431631  387.568369    607  333.146552  491.713793    580
48   proj_048.png  332.711304  62.867826    575  440.136842  168.210526    570  621.225524  275.629371    572  516.054908  387.718802    601  332.719723  491.145329    578
49   proj_049.png  332.409012  62.904679    577  442.533101  168.151568    574  621.886957  275.805217    575  513.560132  387.782537    607  332.436426  490.797251    582
50   proj_050.png  332.223386  62.886562    573  444.920914  168.188049    569  622.380702  276.001754    570  511.092834  387.853420    614  332.190311  490.204152    578
51   proj_051.png  332.196864  62.888502    574  447.430556  168.092014    576  622.678883  276.190227    573  508.571429  387.970443    609  332.191304  489.878261    575
52   proj_052.png  332.376307  62.952962    574  449.891608  168.188811    572  622.834495  276.466899    574  506.008224  388.021382    608  332.391608  489.260490    572
53   proj_053.png  332.890845  62.919014    568  452.351820  168.077990    577  622.783737  276.737024    578  503.405537  388.171010    614  332.836522  488.834783    575
54   proj_054.png  333.330986  62.980634    568  454.992920  168.143363    565  622.500000  276.955172    580  500.741351  388.128501    607  333.350534  488.421708    562
55   proj_055.png  334.072824  62.966252    563  457.674868  168.042179    569  622.035149  277.230228    569  498.176471  388.196078    612  334.119089  487.952715    571
56   proj_056.png  335.019298  62.985965    570  460.187931  168.050000    580  621.482818  277.314433    582  495.375405  388.237864    618  335.022928  487.495591    567
57   proj_057.png  336.137809  62.966431    566  462.811419  168.062284    578  620.736301  277.660959    584  492.660225  388.326892    621  336.139860  487.073427    572
58   proj_058.png  337.379613  63.000000    569  465.433276  167.998267    577  619.805172  277.891379    580  489.933549  388.330632    617  337.354839  486.620072    558
59   proj_059.png  338.830688  63.000000    567  468.128866  168.051546    582  618.625430  278.036082    582  487.261218  388.439103    624  338.801056  486.167254    568
60   proj_060.png  340.440497  63.037300    563  470.793460  168.079174    581  617.253833  278.156729    587  484.471910  388.362761    623  340.409253  485.765125    562
61   proj_061.png  342.076377  63.037300    563  473.459413  168.024180    579  615.841026  278.446154    585  481.653291  388.375602    623  342.133568  485.325132    569
62   proj_062.png  344.026834  63.039356    559  476.135506  168.085763    583  614.111301  278.739726    584  478.922456  388.379645    619  344.103387  484.884135    561
63   proj_063.png  346.087500  63.058929    560  478.872449  168.020408    588  612.266212  278.887372    586  476.088567  388.409018    621  346.106572  484.520426    563
64   proj_064.png  348.283662  63.172352    557  481.569468  167.996569    583  610.240614  279.078498    586  473.326954  388.408293    627  348.300000  484.114286    560
65   proj_065.png  350.743219  63.168174    553  484.192440  168.060137    582  608.136286  279.228279    587  470.527070  388.328025    628  350.667269  483.636528    553
66   proj_066.png  353.193490  63.122966    553  486.840753  168.058219    584  605.858362  279.493174    586  467.751987  388.445151    629  353.258182  483.330909    550
67   proj_067.png  355.936823  63.131769    554  489.500000  168.074830    588  603.240271  279.791878    591  465.036450  388.442155    631  355.944643  482.855357    560
68   proj_068.png  358.674033  63.195212    543  492.117747  168.054608    586  600.691126  279.936860    586  462.382166  388.305732    628  358.645338  482.531993    547
69   proj_069.png  361.640741  63.246296    540  494.863248  168.041026    585  597.907850  280.093857    586  459.622611  388.310510    628  361.565934  482.208791    546
70   proj_070.png  364.664193  63.239332    539  497.390785  168.058020    586  594.857877  280.203767    584  456.973101  388.245253    632  364.684015  481.769517    538
