lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,small,3,15,135,G4,run104_u0065064.log,0.01790355,29,77646.012768,0.388812,99.99949925052665,7.955678,0.02154318,99.72921000573426,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.99951253,-1.99874901,-7.99275043,0.0,0.0,0.0,2.99353363,-0.00183303,0.00061612,0.0,0.0,0.00048747,0.00125099,0.00724957,0.0,0.0,0.0,-0.00646637,-0.00183303,0.00061612
GN,small,3,18,162,G0,run105_u0065078.log,0.01714941,36,192673.566264,0.648054,99.99966365183737,12.87381,0.01770253,99.8624919118738,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00096547,4.99866264,-18.99720039,0.0,0.0,0.0,10.00933238,-0.00267021,4.438e-05,0.0,0.0,-0.00096547,-0.00133736,0.00279961,0.0,0.0,0.0,0.00933238,-0.00267021,4.438e-05
GN,small,3,18,162,G1,run106_u0065064.log,0.10968717,29,155842.784723,0.342143,99.99978045631012,8.063633,0.002312269,99.97132472422788,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00161184,-6.00207802,-11.9043286,0.0,0.0,0.0,5.00883312,-0.0002967,-0.00119609,0.0,0.0,-0.00161184,-0.00207802,0.0956714,0.0,0.0,0.0,0.00883312,-0.0002967,-0.00119609
GN,small,3,18,162,G2,run107_u0065080.log,0.06275597000000001,39,804995.773103,0.287688,99.9999642621726,18.26227,0.001786951,99.9902150663636,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.9964164,-12.00149435,-21.94652823,0.0,0.0,0.0,14.99677545,-0.00042747,-0.00055423,0.0,0.0,0.0035836,-0.00149435,0.05347177,0.0,0.0,0.0,-0.00322455,-0.00042747,-0.00055423
GN,small,3,18,162,G3,run108_u0065078.log,9.0589803,13,1044860.60528,521.731005,99.95006692736203,24.20031,0.195576,99.19184506314176,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.12063634,-8.65411566,-16.85782159,0.0,0.0,0.0,24.93888942,-0.03481217,0.04612714,0.0,0.0,-0.12063634,-0.65411566,8.14217841,0.0,0.0,0.0,-0.06111058,-0.03481217,0.04612714
GN,small,3,18,162,G4,run109_u0065064.log,0.10849786,29,93207.744423,0.592904,99.99936388976724,6.147418,0.03442172,99.44006215292339,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00070549,-1.99731081,-7.92483131,0.0,0.0,0.0,2.97272459,-0.00075525,0.00190383,0.0,0.0,-0.00070549,0.00268919,0.07516869,0.0,0.0,0.0,-0.02727541,-0.00075525,0.00190383
GN,small,3,24,216,G0,run110_u0065080.log,0.15577347,37,256901.060915,0.841717,99.99967235752278,10.13447,0.0123627,99.87801335442308,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00162724,4.99493787,-18.88036848,0.0,0.0,0.0,10.02484202,0.00186571,0.00274485,0.0,0.0,-0.00162724,-0.00506213,0.11963152,0.0,0.0,0.0,0.02484202,0.00186571,0.00274485
GN,small,3,24,216,G1,run111_u0065078.log,0.09709712000000001,21,207826.750565,0.485175,99.99976654833957,12.38186,0.007424991,99.94003331486545,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.00303934,-6.00463771,-11.9166443,0.0,0.0,0.0,5.00248455,-0.00299221,0.00058761,0.0,0.0,-0.00303934,-0.00463771,0.0833557,0.0,0.0,0.0,0.00248455,-0.00299221,0.00058761
GN,small,3,24,216,G2,run112_u0065004.log,0.08665573,38,1073512.252617,0.35676,99.99996676703044,23.4758,0.009342618,99.96020319648318,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99689432,-12.00340707,-21.92774115,0.0,0.0,0.0,14.99497204,0.00178636,-0.00106981,0.0,0.0,0.00310568,-0.00340707,0.07225885,0.0,0.0,0.0,-0.00502796,0.00178636,-0.00106981
GN,small,3,24,216,G3,run113_u0065064.log,0.10799447,43,1393213.07624,0.753052,99.99994594854061,22.06601,0.009719762,99.95595142937032,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-17.99985572,-8.00712881,-24.90649973,0.0,0.0,0.0,25.00192949,0.00212176,0.00316986,0.0,0.0,0.00014428,-0.00712881,0.09350027,0.0,0.0,0.0,0.00192949,0.00212176,0.00316986
GN,small,3,24,216,G4,run114_u0065078.log,0.0648806,34,124228.219533,0.691369,99.99944346863974,7.551178,0.01171817,99.84481666304252,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.99905219,-2.004113,-7.94637089,0.0,0.0,0.0,3.00391743,-0.00039325,0.00188,0.0,0.0,0.00094781,-0.004113,0.05362911,0.0,0.0,0.0,0.00391743,-0.00039325,0.00188
GN,small,3,36,324,G0,run115_u0065080.log,0.08661347,41,385273.786558,1.156236,99.99969989237775,10.23129,0.003403504,99.96673436096523,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.00031408,4.99501927,-18.93272929,0.0,0.0,0.0,10.01226089,-0.00037546,0.0014116,0.0,0.0,-0.00031408,-0.00498073,0.06727071,0.0,0.0,0.0,0.01226089,-0.00037546,0.0014116
GN,small,3,36,324,G1,run116_u0065004.log,0.02102374,44,311644.975745,0.501046,99.99983922538819,8.148161,0.003234795,99.96030030579907,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-6.0001258,-5.99836842,-12.00986694,0.0,0.0,0.0,5.00767504,0.00080377,-0.00092061,0.0,0.0,-0.0001258,0.00163158,-0.00986694,0.0,0.0,0.0,0.00767504,0.00080377,-0.00092061
GN,small,3,36,324,G2,run117_u0065064.log,0.06263600999999999,39,1610199.716703,0.6199,99.99996150167003,17.8248,0.01496645,99.91603580404829,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-14.99767186,-12.0026301,-21.94722449,0.0,0.0,0.0,14.99570466,-8e-07,-0.00060612,0.0,0.0,0.00232814,-0.0026301,0.05277551,0.0,0.0,0.0,-0.00429534,-8e-07,-0.00060612
GN,small,3,36,324,G3,run118_u0065078.log,0.12096739000000001,49,2089627.862948,1.004265,99.99995194048577,22.20627,0.01133827,99.94894113239188,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-18.00009803,-8.00790757,-24.89224429,0.0,0.0,0.0,25.00371713,0.00103521,0.00045374,0.0,0.0,-9.803e-05,-0.00790757,0.10775571,0.0,0.0,0.0,0.00371713,0.00103521,0.00045374
GN,small,3,36,324,G4,run119_u0065080.log,0.017188270000000002,32,186420.137695,0.919616,99.99950669707073,7.284691,0.003977444,99.94539996274379,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00060197,-1.99882977,-8.00292565,0.0,0.0,0.0,2.98831613,-0.00023441,0.00057214,0.0,0.0,-0.00060197,0.00117023,-0.00292565,0.0,0.0,0.0,-0.01168387,-0.00023441,0.00057214
