
################################################################################
Running scenario=G0 N_ANGLES=360, K=4
view   0 | SOD= 570.548 mm | SDD= 675.501 mm | M= 1.184 | incident=3.8197°
[[  98.97946    -561.3404      -25.        ]
 [ -18.05941     102.420006     20.        ]
 [   0.14732724    0.02597777    0.        ]
 [   0.            0.            0.1496    ]]
            image          x1         y1  area1          x2          y2  area2          x3          y3  area3          x4          y4  area4
142  proj_142.png  367.898773  63.197853    652  529.796807  204.686502    689  484.489768  355.481583    733  367.905719  481.408037    647
143  proj_143.png  369.520995  63.343701    643  530.099711  204.658960    692  482.127660  355.466755    752  369.550388  481.305426    645
144  proj_144.png  371.165635  63.243034    646  530.469388  204.790087    686  479.816600  355.467202    747  371.150077  481.099541    653
145  proj_145.png  372.925811  63.265842    647  530.681752  204.760584    685  477.408412  355.469471    737  372.970992  480.970992    655
146  proj_146.png  374.674419  63.226357    645  530.979562  204.734307    685  475.090788  355.471295    749  374.707242  480.793529    649
147  proj_147.png  376.468019  63.234009    641  531.342981  204.782923    691  472.817089  355.491322    749  376.401244  480.576983    643
148  proj_148.png  378.171561  63.225657    647  531.557496  204.874818    687  470.324361  355.487214    743  378.188180  480.503888    643
149  proj_149.png  380.063566  63.249612    645  531.749636  204.841339    687  468.080214  355.447861    748  380.029366  480.341577    647
150  proj_150.png  381.951863  63.265528    644  531.985423  204.825073    686  465.804290  355.483914    746  381.882716  480.160494    648
151  proj_151.png  383.815789  63.256966    646  532.256894  204.912917    689  463.314939  355.430686    743  383.820988  480.066358    648
152  proj_152.png  385.741433  63.288162    642  532.420058  204.904070    688  461.051282  355.395412    741  385.699690  479.922601    646
153  proj_153.png  387.579937  63.283699    638  532.540816  204.911079    686  458.780914  355.443548    744  387.627145  479.700468    641
154  proj_154.png  389.540031  63.277865    637  532.687045  204.963610    687  456.388889  355.425474    738  389.567187  479.582812    640
155  proj_155.png  391.516432  63.262911    639  532.725547  204.979562    685  454.071622  355.372973    740  391.572543  479.446178    641
156  proj_156.png  393.558176  63.290881    636  532.958763  205.000000    679  451.832432  355.332432    740  393.555906  479.313386    635
