lambda,cuboid,K,N,M,scenario,file,sum,total_iters,cost_initial,cost_final,cost_change_pct,ddtheta_initial,dtheta,dtheta_change_pct,final_lambda,fake_dSx,fake_dSy,fake_dOx,fake_dOy,fake_dOz,fake_dDx,fake_dDy,fake_dDz,fake_alpha,fake_offset_x,fake_offset_z,hat_dSx,hat_dSy,hat_dOx,hat_dOy,hat_dOz,hat_dDx,hat_dDy,hat_dDz,hat_alpha,hat_offset_x,hat_offset_z,diff_dSx,diff_dSy,diff_dOx,diff_dOy,diff_dOz,diff_dDx,diff_dDy,diff_dDz,diff_alpha,diff_offset_x,diff_offset_z
GN,coplanar,3,18,162,G0,run175_u0065004.log,210.95385627,9,3408779.80212,2602224.926451,23.661102285556396,61.18422,49.44167,19.19212175949943,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.78707954,-6.80409455,159.66528615,0.0,0.0,0.0,7.96887175,4.65581281,13.01045497,0.0,0.0,-0.78707954,-11.80409455,178.66528615,0.0,0.0,0.0,-2.03112825,4.65581281,13.01045497
GN,coplanar,3,18,162,G1,run176_u0065064.log,233.39161710000002,11,3918030.366593,3002646.420979,23.36337036637084,64.65662,9.036751,86.02347137849148,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-11.21027413,-18.64765685,176.93134795,0.0,0.0,0.0,4.80018451,8.33924943,18.06327325,0.0,0.0,-5.21027413,-12.64765685,188.93134795,0.0,0.0,0.0,-0.19981549,8.33924943,18.06327325
GN,coplanar,3,18,162,G2,run177_u0065065.log,218.60753806999998,8,5187506.965043,3442442.501438,33.63975172205932,104.0774,12.26051,88.21981525287912,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-12.06208536,-19.65385795,158.52044843,0.0,0.0,0.0,8.79420718,3.85154996,17.43797427,0.0,0.0,2.93791464,-7.65385795,180.52044843,0.0,0.0,0.0,-6.20579282,3.85154996,17.43797427
GN,coplanar,3,18,162,G3,run178_u0065085.log,111.36665096,7,5428405.376407,3647550.644761,32.80622223583324,44.97089,22.58844,49.77097406789147,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-7.68139098,-12.44135761,41.34338475,0.0,0.0,0.0,5.00651101,1.85507579,8.4147348,0.0,0.0,10.31860902,-4.44135761,66.34338475,0.0,0.0,0.0,-19.99348899,1.85507579,8.4147348
GN,coplanar,3,18,162,G4,run179_u0065092.log,253.99007905,12,3808370.885588,2867672.105333,24.700818499975465,37.56991,7.210784,80.80702349300277,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.66742629,-9.65771319,212.70420183,0.0,0.0,0.0,6.11409346,5.36405246,11.8174444,0.0,0.0,5.33257371,-7.65771319,220.70420183,0.0,0.0,0.0,3.11409346,5.36405246,11.8174444
GN,coplanar,3,24,216,G0,run180_u0065004.log,212.4102264,14,4862333.074934,3581707.830079,26.337670108549343,12.69795,7.847507,38.19863048759839,0.0,0.0,0.0,-10.0,5.0,-19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-9.93662472,-3.92097131,172.50539945,0.0,0.0,0.0,7.40441247,-0.05019275,9.27470008,0.0,0.0,0.06337528,-8.92097131,191.50539945,0.0,0.0,0.0,-2.59558753,-0.05019275,9.27470008
GN,coplanar,3,24,216,G1,run181_u0065064.log,202.05233836,9,5402399.178268,3903213.803127,27.750362860480738,45.38023,13.92396,69.31712333762961,0.0,0.0,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-9.41417543,-18.89189685,157.3735192,0.0,0.0,0.0,5.65549126,3.57116888,12.14608674,0.0,0.0,-3.41417543,-12.89189685,169.3735192,0.0,0.0,0.0,0.65549126,3.57116888,12.14608674
GN,coplanar,3,24,216,G2,run182_u0065065.log,113.26315458,8,6695376.483522,4875308.369596,27.183954754529072,42.4501,48.70131,-14.726019491120164,0.0,0.0,0.0,-15.0,-12.0,-22.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,-12.75236745,-15.24201587,60.60886005,0.0,0.0,0.0,8.23507651,3.09141194,15.30831068,0.0,0.0,2.24763255,-3.24201587,82.60886005,0.0,0.0,0.0,-6.76492349,3.09141194,15.30831068
GN,coplanar,3,24,216,G3,run183_u0065085.log,84.24431161,7,6197622.761422,4946337.449943,20.189762424196033,29.06338,27.56534,5.15439016384192,0.0,0.0,0.0,-18.0,-8.0,-25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,-8.75544889,-11.60278117,23.26677227,0.0,0.0,0.0,8.30310082,2.11670249,4.31660539,0.0,0.0,9.24455111,-3.60278117,48.26677227,0.0,0.0,0.0,-16.69689918,2.11670249,4.31660539
GN,coplanar,3,24,216,G4,run184_u0065092.log,294.26169375,13,5320823.002581,3946898.748707,25.821649267557735,80.86625,7.835266,90.31083301129952,0.0,0.0,0.0,-7.0,-2.0,-8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-7.00344638,-15.06379458,254.94959614,0.0,0.0,0.0,2.64147265,7.28940918,10.59692012,0.0,0.0,-0.00344638,-13.06379458,262.94959614,0.0,0.0,0.0,-0.35852735,7.28940918,10.59692012
