K,N_ANGLES,G0_sum,G0_dtheta,G0_cost,G0_it,G1_sum,G1_dtheta,G1_cost,G1_it,G2_sum,G2_dtheta,G2_cost,G2_it,G3_sum,G3_dtheta,G3_cost,G3_it,G4_sum,G4_dtheta,G4_cost,G4_it
7,180,0.017,0.000002,1.449731,51,0.005,0.000001,0.520399,43,0.014,0.000003,0.795688,57,0.003,0.000003,1.624153,69,-0.002,0.000002,0.985442,40
1,360,0.196,0.000001,0.172612,47,0.062,0.000001,0.093819,54,0.048,0.000001,0.088903,40,0.068,0.000001,0.145786,50,0.026,0.000001,0.083072,42
2,360,0.016,0.000001,0.238139,52,-0.005,0.000001,0.232078,54,0.001,0.000001,0.253715,68,-0.008,0.000002,0.284521,84,0.003,0.000000,0.062494,43
3,360,0.007,0.000001,0.561935,57,-0.000,0.000002,0.381008,54,0.005,0.000001,0.490354,58,-0.001,0.000001,0.522263,82,0.005,0.000001,0.662012,42
5,360,0.003,0.000001,1.519043,56,0.007,0.000003,1.615918,52,-0.009,0.000386,1.918269,42,0.009,0.000003,1.420440,73,0.001,0.000001,1.427308,42
6,360,-0.001,0.000001,1.853764,50,0.008,0.000002,1.835523,55,0.003,0.000003,2.686237,63,0.002,0.000002,1.488518,72,0.007,0.000001,2.443136,37
1,20,0.355,0.000000,0.003173,32,1.343,0.000001,0.067871,26,0.525,0.000000,0.027153,29,0.391,0.000001,0.014797,31,0.628,0.000001,0.023998,28
2,20,15.559,0.000039,155.267534,55,0.051,0.000001,0.025499,42,17.065,0.000060,237.423189,38,17.157,0.000027,303.329329,40,0.011,0.000001,0.010403,25
3,20,0.044,0.000000,0.036931,60,0.090,0.000001,0.049820,47,0.021,0.000000,0.004607,71,16.220,0.000030,260.701952,51,0.055,0.000001,0.014757,35
4,20,-0.014,0.000000,0.013693,52,0.056,0.000000,0.042669,39,0.042,0.000001,0.035970,53,0.020,0.000000,0.051777,59,0.046,0.000000,0.064247,33
5,20,-0.007,0.000001,0.131771,49,0.047,0.000001,0.057579,42,-0.010,0.000001,0.024346,56,-0.008,0.000001,0.179286,61,-0.031,0.000001,0.082857,37
6,20,0.073,0.000001,0.237136,54,0.015,0.000001,0.064945,43,0.022,0.000001,0.141961,61,-0.028,0.000001,0.237032,79,0.044,0.000001,0.134009,32
7,20,0.044,0.000001,0.166613,44,0.050,0.000001,0.145926,40,0.005,0.000000,0.026496,56,0.009,0.000001,0.285749,52,0.022,0.000001,0.113566,35
1,120,0.212,0.000000,0.030347,37,0.119,0.000001,0.041626,36,0.220,0.000001,0.052716,32,0.050,0.000000,0.036942,41,0.191,0.000000,0.053323,35
1,24,0.845,0.000000,0.025732,33,0.333,0.000000,0.006304,32,0.258,0.000000,0.010182,40,0.247,0.000001,0.020338,30,2.661,0.000000,0.175330,23
5,24,0.017,0.000001,0.156074,50,-0.025,0.000001,0.037196,42,-0.032,0.000001,0.109592,45,12.129,0.000630,4038.722552,37,-0.022,0.000001,0.178049,35
3,24,-0.057,0.000000,0.077510,49,-0.009,0.000000,0.003772,41,0.021,0.000000,0.012232,61,17.466,0.000029,368.728451,68,0.038,0.000001,0.023286,34
6,24,0.007,0.000000,0.151403,48,0.023,0.000001,0.156944,40,0.014,0.000001,0.066615,52,0.011,0.000000,0.048195,62,-0.014,0.000000,0.151168,37
2,24,16.105,0.000035,233.803948,37,12.857,0.000030,139.632349,29,0.010,0.000001,0.021871,43,17.307,0.000122,714.824758,40,0.005,0.000000,0.005909,40
4,24,-0.004,0.000001,0.024010,43,0.025,0.000000,0.075684,45,-0.009,0.000001,0.045054,56,0.021,0.000000,0.039646,65,0.020,0.000001,0.019910,34
7,24,-0.023,0.000000,0.298459,41,0.015,0.000001,0.089226,34,0.010,0.000001,0.068588,52,-0.003,0.000001,0.072130,60,-0.004,0.000001,0.217442,31
3,120,0.036,0.000001,0.265113,55,-0.005,0.000001,0.171788,41,0.006,0.000001,0.184883,58,0.017,0.000001,0.147973,72,-0.006,0.000001,0.077338,38
4,120,-0.007,0.000000,0.150668,57,0.011,0.000001,0.395933,48,0.012,0.000001,0.368117,57,0.019,0.000001,0.342808,66,-0.006,0.000002,0.255917,42
5,120,0.005,0.000001,0.640767,51,0.005,0.000001,0.436847,51,-0.007,0.000003,0.493215,59,0.001,0.000003,0.598791,70,-0.003,0.000000,0.453732,36
1,30,0.407,0.000000,0.008040,32,0.604,0.000000,0.043114,31,0.351,0.000001,0.014650,37,1.718,0.000001,0.104411,30,1.946,0.000001,0.148154,25
2,120,-0.007,0.000001,0.068690,63,0.011,0.000001,0.111601,50,-0.007,0.000001,0.063302,55,-0.002,0.000001,0.073656,80,0.030,0.000001,0.080784,44
6,120,0.007,0.000001,0.678726,47,0.013,0.000002,0.610376,47,0.007,0.000002,0.732570,66,-0.005,0.000002,0.606860,77,0.008,0.000002,0.740347,37
5,30,0.015,0.000001,0.058673,46,-0.000,0.000000,0.103837,41,-0.018,0.000000,0.060656,50,0.014,0.000001,0.088774,66,-0.005,0.000001,0.192393,34
1,36,0.529,0.000000,0.036306,31,0.105,0.000000,0.011137,32,0.407,0.000001,0.019680,35,0.269,0.000001,0.018041,41,0.685,0.000001,0.018761,35
3,30,-0.024,0.000001,0.013294,50,0.005,0.000001,0.077754,42,-0.011,0.000001,0.045862,60,0.040,0.000001,0.036430,70,0.043,0.000001,0.048687,36
4,360,0.009,0.000000,0.416353,55,0.002,0.000002,1.052520,50,0.002,0.000001,0.520736,57,-0.002,0.000002,0.361715,77,-0.003,0.000001,0.896699,51
6,30,-0.005,0.000001,0.190285,51,-0.008,0.000001,0.092544,44,-0.034,0.000001,0.444987,55,0.024,0.000001,0.230727,66,0.021,0.000000,0.131548,39
4,30,0.021,0.000001,0.039074,46,0.040,0.000000,0.082152,38,-0.042,0.000001,0.138680,53,-0.063,0.000001,0.260893,78,0.035,0.000001,0.136351,38
2,36,-0.006,0.000000,0.020324,62,8.829,0.000007,101.891274,39,12.248,0.000018,172.139042,42,16.707,0.000057,324.273539,50,-0.017,0.000001,0.012869,38
2,30,0.014,0.000000,0.009739,55,9.770,0.000011,104.767850,34,0.014,0.000000,0.011388,60,20.673,0.000099,400.638783,49,0.022,0.000000,0.011233,36
5,36,0.009,0.000001,0.147632,44,-0.018,0.000001,0.034559,47,0.014,0.000001,0.089810,59,-0.043,0.000001,0.211283,66,0.056,0.000001,0.155324,36
3,36,0.011,0.000001,0.031254,49,-0.000,0.000001,0.067034,53,0.010,0.000001,0.080029,61,0.008,0.000000,0.078740,60,0.011,0.000000,0.091552,43
